[2026-04-02 19:17:02,146] 17 networksecurity.logging - INFO - Entered the DataIngestionStage
[2026-04-02 19:17:05,969] 65 networksecurity.logging - INFO - Performed train test split on the dataframe
[2026-04-02 19:17:05,969] 66 networksecurity.logging - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-04-02 19:17:05,969] 73 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-02 19:17:06,352] 83 networksecurity.logging - INFO - Exporting train and test file path
[2026-04-02 19:17:06,352] 19 networksecurity.logging - INFO - Data Ingestion Completed now turn for Data Validation
[2026-04-02 19:17:06,362] 25 networksecurity.logging - INFO - Data Validation initialized
[2026-04-02 19:17:06,421] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-02 19:17:06,421] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-02 19:17:06,421] 32 networksecurity.logging - INFO - Require number of columns=31
[2026-04-02 19:17:06,421] 33 networksecurity.logging - INFO - DataFrames columns number 31
[2026-04-02 19:17:06,924] 27 networksecurity.logging - INFO - Data Validation Completed
[2026-04-02 19:17:06,924] 36 networksecurity.logging - INFO - Data Transformation Initiated
[2026-04-02 19:17:06,924] 57 networksecurity.logging - INFO - Enter initiate_data_transformation method of DataTransformation class
[2026-04-02 19:17:06,924] 59 networksecurity.logging - INFO - Started Data Transformation
[2026-04-02 19:17:06,990] 45 networksecurity.logging - INFO - Entered get_data_transformer_object class
[2026-04-02 19:17:06,990] 50 networksecurity.logging - INFO - Initialise KNN Imputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} params
[2026-04-02 19:17:07,024] 47 networksecurity.logging - INFO - Entered the save_object method of mainutils class
[2026-04-02 19:17:07,030] 53 networksecurity.logging - INFO - Exited the save_object method of MainUtils class
[2026-04-02 19:17:07,030] 38 networksecurity.logging - INFO - Data Transformation Completed
